record_id,system_name,system_type,state_or_region,latitude,longitude,coordinate_status,ecological_region,annual_rainfall_mm_est,soil_type,water_harvesting_principle,cultural_environmental_reason,primary_purpose,advantages,current_condition,maintenance_model,revival_efforts,government_initiatives,groundwater_recharge_potential,water_storage_type,community_management,climate_resilience_score,sustainability_score,data_source_type,contributor,image_url,contextual_details,source_reference,cluster,cluster_name
IWMS001,Stepwell,Stepwell,Rajasthan,26.28346,72.886,Representative regional coordinate - VERIFY before publication,Semi-arid,590,Sandy/loamy,Groundwater access via deep stepped masonry; rainwater infiltration/storage,"community water supply, shade, social/religious use",Drinking water / community use,water access; passive cooling; durable structure,Partially functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Integrated,High,78.6,58.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS002,Johad,Johad,Rajasthan,26.13763,72.90249,Representative regional coordinate - VERIFY before publication,Arid/Semi-arid,519,Sandy/loamy,Earthen check dam captures monsoon runoff and promotes aquifer recharge,seasonal rainfall; livestock; agriculture; community water security,Groundwater recharge / livestock / agriculture,low cost; recharge; soil moisture; drought resilience,Functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Integrated,Unknown,63.8,86.3,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS003,Khadin,Khadin,Rajasthan,26.27142,73.07426,Representative regional coordinate - VERIFY before publication,Arid,251,Sandy/loamy,Earthen bund retains runoff on agricultural land and conserves soil moisture,very low rainfall; dryland farming,Dryland agriculture,runoff harvesting; crop moisture; no pumping required,Unknown,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Groundwater-linked,Low,59.1,49.6,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS004,Tanka,Tanka,Rajasthan,26.22118,72.96616,Representative regional coordinate - VERIFY before publication,Arid,338,Sandy/loamy,Roof/courtyard runoff stored in underground tank,scarce rainfall; potable-water security,Drinking water / household storage,low evaporation; household storage; dry-season supply,Needs restoration,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Integrated,High,93.9,69.0,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS005,Kund,Kund,Rajasthan,26.22085,73.01249,Representative regional coordinate - VERIFY before publication,Arid,462,Sandy/loamy,Catchment runoff directed into lined storage depression,desert settlements; rainfall scarcity,Drinking water / storage,protected storage; efficient collection,Needs restoration,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Surface,Moderate,85.9,68.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS006,Nadi,Nadi,Rajasthan,26.36645,73.08528,Representative regional coordinate - VERIFY before publication,Arid,471,Sandy/loamy,Village depression/pond stores seasonal runoff,livestock and village water needs,Livestock / community water,simple storage; recharge; multiple uses,Unknown,Heritage/site management,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Underground,Moderate,69.8,51.7,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS007,Jhalara,Jhalara,Rajasthan,26.18028,72.94407,Representative regional coordinate - VERIFY before publication,Arid/Semi-arid,436,Sandy/loamy,Stepped masonry reservoir provides access to stored water/groundwater,community and cultural use in dry climate,Community water / cultural use,water access; shade; durable masonry,Partially functional,Local body/department,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Channel/diversion,Low,94.6,71.0,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS008,Baoli/Baori,Baoli/Baori,Rajasthan,26.2836,73.01367,Representative regional coordinate - VERIFY before publication,Arid/Semi-arid,566,Sandy/loamy,Stepped well provides access to deep water,hot climate; settlement water supply,Drinking water / community use,storage/access; cooling; community use,Partially functional,Community-managed,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Low,Channel/diversion,Low,57.6,59.4,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,0,Cluster 0 - Low Rainfall
IWMS009,Ahar-Pyne,Ahar-Pyne,Bihar,24.84915,85.01612,Representative regional coordinate - VERIFY before publication,Sub-humid monsoon,1267,Alluvial,Pynes divert floodwater into ahar storage basins and fields,seasonal floods and agriculture in South Bihar,Irrigation / floodwater management,flood management; irrigation; silt deposition,Partially functional,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",Moderate,Channel/diversion,Moderate,65.6,65.0,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,5,Cluster 5 - High Rainfall
IWMS010,Kuhl,Kuhl,Himachal Pradesh,31.68919,77.16473,Representative regional coordinate - VERIFY before publication,Mountain,1169,Mountain/alluvial,Gravity channel diverts stream/snowmelt water to fields,mountain terrain; seasonal flows,Irrigation,gravity irrigation; low energy,Unknown,Unknown,"Documented restoration, desilting, repair, community revival or heritage conservation; site-specific action must be verified.","Potentially linked to state/local water conservation, watershed, irrigation, rural water-supply or heritage programmes; verify scheme for each site.",High,Groundwater-linked,Unknown,58.6,69.8,Curated prototype / regional documentation,Prototype dataset - verify against primary source,https://commons.wikimedia.org/,"Starter/prototype record. Exact structure name, coordinates, condition, initiative and image should be verified from a primary source before academic publication.",India Water Portal traditional water-harvesting documentation; India Water Heritage Map; primary local/heritage records recommended for verification.,7,Cluster 7 - Moderate Rainfall
